date,open,high,low,close,volume,average,barCount
2024-02-21 08:30:00-06:00,5036.25,5039.25,5031.25,5034.75,-1.0,-1.0,-1
2024-02-21 09:00:00-06:00,5034.75,5042.75,5032.5,5035.0,-1.0,-1.0,-1
2024-02-21 10:00:00-06:00,5035.0,5045.25,5034.75,5042.0,-1.0,-1.0,-1
2024-02-21 11:00:00-06:00,5042.0,5042.75,5028.25,5038.0,-1.0,-1.0,-1
2024-02-21 12:00:00-06:00,5038.0,5039.75,5026.25,5035.75,-1.0,-1.0,-1
2024-02-21 13:00:00-06:00,5035.75,5043.5,5021.25,5028.0,-1.0,-1.0,-1
2024-02-21 14:00:00-06:00,5028.0,5056.75,5017.5,5054.25,-1.0,-1.0,-1
2024-02-21 15:00:00-06:00,5054.25,5079.5,5031.75,5078.5,-1.0,-1.0,-1
2024-02-22 08:30:00-06:00,5122.25,5136.5,5112.0,5131.0,-1.0,-1.0,-1
2024-02-22 09:00:00-06:00,5131.0,5139.5,5127.75,5130.0,-1.0,-1.0,-1
2024-02-22 10:00:00-06:00,5130.0,5141.75,5127.75,5135.25,-1.0,-1.0,-1
2024-02-22 11:00:00-06:00,5135.25,5148.0,5131.75,5147.75,-1.0,-1.0,-1
2024-02-22 12:00:00-06:00,5147.75,5156.0,5143.5,5156.0,-1.0,-1.0,-1
2024-02-22 13:00:00-06:00,5156.0,5168.5,5152.5,5155.75,-1.0,-1.0,-1
2024-02-22 14:00:00-06:00,5155.75,5166.75,5154.5,5158.25,-1.0,-1.0,-1
2024-02-22 15:00:00-06:00,5158.25,5158.25,5152.75,5154.5,-1.0,-1.0,-1
2024-02-23 08:30:00-06:00,5175.75,5184.5,5174.0,5180.5,-1.0,-1.0,-1
2024-02-23 09:00:00-06:00,5180.5,5182.5,5167.0,5170.0,-1.0,-1.0,-1
2024-02-23 10:00:00-06:00,5170.0,5171.0,5153.5,5167.5,-1.0,-1.0,-1
2024-02-23 11:00:00-06:00,5167.5,5172.75,5160.5,5169.0,-1.0,-1.0,-1
2024-02-23 12:00:00-06:00,5169.0,5173.25,5166.0,5168.0,-1.0,-1.0,-1
2024-02-23 13:00:00-06:00,5168.0,5168.75,5158.75,5166.0,-1.0,-1.0,-1
2024-02-23 14:00:00-06:00,5166.0,5170.25,5159.75,5160.75,-1.0,-1.0,-1
2024-02-23 15:00:00-06:00,5160.75,5161.0,5155.5,5156.5,-1.0,-1.0,-1
2024-02-26 08:30:00-06:00,5164.75,5169.25,5159.0,5162.5,-1.0,-1.0,-1
2024-02-26 09:00:00-06:00,5162.5,5167.0,5155.5,5156.5,-1.0,-1.0,-1
2024-02-26 10:00:00-06:00,5156.5,5160.5,5151.75,5158.75,-1.0,-1.0,-1
2024-02-26 11:00:00-06:00,5158.75,5160.75,5153.0,5154.75,-1.0,-1.0,-1
2024-02-26 12:00:00-06:00,5154.75,5157.75,5141.75,5150.25,-1.0,-1.0,-1
2024-02-26 13:00:00-06:00,5150.25,5155.5,5146.5,5149.0,-1.0,-1.0,-1
2024-02-26 14:00:00-06:00,5149.0,5154.75,5139.75,5141.25,-1.0,-1.0,-1
2024-02-26 15:00:00-06:00,5141.25,5141.5,5137.25,5138.25,-1.0,-1.0,-1
2024-02-27 08:30:00-06:00,5147.5,5148.0,5135.75,5140.0,-1.0,-1.0,-1
2024-02-27 09:00:00-06:00,5140.0,5146.5,5136.25,5141.75,-1.0,-1.0,-1
2024-02-27 10:00:00-06:00,5141.75,5142.25,5135.0,5139.5,-1.0,-1.0,-1
2024-02-27 11:00:00-06:00,5139.5,5140.5,5130.25,5131.0,-1.0,-1.0,-1
2024-02-27 12:00:00-06:00,5131.0,5139.25,5127.75,5138.25,-1.0,-1.0,-1
2024-02-27 13:00:00-06:00,5138.25,5147.5,5137.75,5147.0,-1.0,-1.0,-1
2024-02-27 14:00:00-06:00,5147.0,5152.5,5142.75,5149.75,-1.0,-1.0,-1
2024-02-27 15:00:00-06:00,5149.75,5153.75,5148.75,5151.25,-1.0,-1.0,-1
2024-02-28 08:30:00-06:00,5133.0,5138.25,5129.0,5133.0,-1.0,-1.0,-1
2024-02-28 09:00:00-06:00,5133.0,5145.25,5131.75,5144.75,-1.0,-1.0,-1
2024-02-28 10:00:00-06:00,5144.75,5148.75,5141.5,5146.0,-1.0,-1.0,-1
2024-02-28 11:00:00-06:00,5146.0,5147.0,5134.25,5138.75,-1.0,-1.0,-1
2024-02-28 12:00:00-06:00,5138.75,5148.0,5134.75,5146.5,-1.0,-1.0,-1
2024-02-28 13:00:00-06:00,5146.5,5147.25,5131.5,5138.75,-1.0,-1.0,-1
2024-02-28 14:00:00-06:00,5138.75,5143.25,5133.5,5142.75,-1.0,-1.0,-1
2024-02-28 15:00:00-06:00,5142.75,5143.0,5127.75,5130.5,-1.0,-1.0,-1
2024-02-29 08:30:00-06:00,5159.0,5166.75,5158.75,5163.25,-1.0,-1.0,-1
2024-02-29 09:00:00-06:00,5163.25,5165.75,5145.75,5152.25,-1.0,-1.0,-1
2024-02-29 10:00:00-06:00,5152.25,5155.25,5130.75,5144.25,-1.0,-1.0,-1
2024-02-29 11:00:00-06:00,5144.25,5152.5,5142.75,5151.75,-1.0,-1.0,-1
2024-02-29 12:00:00-06:00,5151.75,5157.5,5151.5,5156.5,-1.0,-1.0,-1
2024-02-29 13:00:00-06:00,5156.5,5161.5,5149.75,5155.75,-1.0,-1.0,-1
2024-02-29 14:00:00-06:00,5155.75,5176.0,5154.75,5158.0,-1.0,-1.0,-1
2024-02-29 15:00:00-06:00,5158.0,5164.75,5154.75,5162.0,-1.0,-1.0,-1
2024-03-01 08:30:00-06:00,5167.0,5173.0,5162.5,5168.25,-1.0,-1.0,-1
2024-03-01 09:00:00-06:00,5168.25,5186.0,5163.75,5184.25,-1.0,-1.0,-1
2024-03-01 10:00:00-06:00,5184.25,5191.75,5179.0,5189.25,-1.0,-1.0,-1
2024-03-01 11:00:00-06:00,5189.25,5198.75,5184.75,5196.25,-1.0,-1.0,-1
2024-03-01 12:00:00-06:00,5196.25,5205.25,5194.5,5204.5,-1.0,-1.0,-1
2024-03-01 13:00:00-06:00,5204.5,5211.25,5203.5,5209.25,-1.0,-1.0,-1
2024-03-01 14:00:00-06:00,5209.25,5209.75,5201.25,5207.0,-1.0,-1.0,-1
2024-03-01 15:00:00-06:00,5207.0,5207.25,5200.25,5200.5,-1.0,-1.0,-1
2024-03-04 08:30:00-06:00,5197.75,5203.75,5197.25,5202.5,-1.0,-1.0,-1
2024-03-04 09:00:00-06:00,5202.5,5206.5,5198.0,5204.25,-1.0,-1.0,-1
2024-03-04 10:00:00-06:00,5204.25,5206.25,5199.25,5205.25,-1.0,-1.0,-1
2024-03-04 11:00:00-06:00,5205.25,5209.75,5202.5,5207.5,-1.0,-1.0,-1
2024-03-04 12:00:00-06:00,5207.5,5208.75,5201.0,5205.75,-1.0,-1.0,-1
2024-03-04 13:00:00-06:00,5205.75,5219.5,5203.75,5216.25,-1.0,-1.0,-1
2024-03-04 14:00:00-06:00,5216.25,5220.0,5199.5,5200.25,-1.0,-1.0,-1
2024-03-04 15:00:00-06:00,5200.25,5201.0,5195.25,5196.75,-1.0,-1.0,-1
2024-03-05 08:30:00-06:00,5179.25,5180.25,5169.75,5172.5,-1.0,-1.0,-1
2024-03-05 09:00:00-06:00,5172.5,5184.0,5150.75,5157.25,-1.0,-1.0,-1
2024-03-05 10:00:00-06:00,5157.25,5160.0,5145.25,5152.5,-1.0,-1.0,-1
2024-03-05 11:00:00-06:00,5152.5,5161.25,5151.0,5156.0,-1.0,-1.0,-1
2024-03-05 12:00:00-06:00,5156.0,5157.5,5142.25,5143.25,-1.0,-1.0,-1
2024-03-05 13:00:00-06:00,5143.25,5149.5,5131.0,5132.75,-1.0,-1.0,-1
2024-03-05 14:00:00-06:00,5132.75,5149.75,5124.25,5147.25,-1.0,-1.0,-1
2024-03-05 15:00:00-06:00,5147.25,5154.25,5146.75,5152.75,-1.0,-1.0,-1
2024-03-06 08:30:00-06:00,5181.25,5184.25,5172.0,5174.75,-1.0,-1.0,-1
2024-03-06 09:00:00-06:00,5174.75,5181.5,5159.25,5180.0,-1.0,-1.0,-1
2024-03-06 10:00:00-06:00,5180.0,5192.25,5180.0,5188.0,-1.0,-1.0,-1
2024-03-06 11:00:00-06:00,5188.0,5196.5,5186.25,5189.25,-1.0,-1.0,-1
2024-03-06 12:00:00-06:00,5189.25,5195.5,5166.5,5177.0,-1.0,-1.0,-1
2024-03-06 13:00:00-06:00,5177.0,5180.0,5160.5,5168.0,-1.0,-1.0,-1
2024-03-06 14:00:00-06:00,5168.0,5178.75,5161.0,5174.0,-1.0,-1.0,-1
2024-03-06 15:00:00-06:00,5174.0,5178.0,5172.75,5175.25,-1.0,-1.0,-1
2024-03-07 08:30:00-06:00,5205.5,5210.5,5195.75,5208.25,-1.0,-1.0,-1
2024-03-07 09:00:00-06:00,5208.25,5223.25,5203.75,5218.25,-1.0,-1.0,-1
2024-03-07 10:00:00-06:00,5218.25,5222.25,5212.0,5221.0,-1.0,-1.0,-1
2024-03-07 11:00:00-06:00,5221.0,5224.5,5214.75,5220.25,-1.0,-1.0,-1
2024-03-07 12:00:00-06:00,5220.25,5233.75,5216.75,5231.75,-1.0,-1.0,-1
2024-03-07 13:00:00-06:00,5231.75,5233.5,5222.0,5223.75,-1.0,-1.0,-1
2024-03-07 14:00:00-06:00,5223.75,5231.0,5215.0,5222.75,-1.0,-1.0,-1
2024-03-07 15:00:00-06:00,5222.75,5223.25,5206.75,5220.25,-1.0,-1.0,-1
2024-03-08 08:30:00-06:00,5229.0,5253.0,5227.0,5252.5,-1.0,-1.0,-1
2024-03-08 09:00:00-06:00,5252.5,5257.5,5244.25,5250.25,-1.0,-1.0,-1
2024-03-08 10:00:00-06:00,5250.25,5251.25,5213.25,5214.5,-1.0,-1.0,-1
2024-03-08 11:00:00-06:00,5214.5,5223.5,5196.75,5199.5,-1.0,-1.0,-1
2024-03-08 12:00:00-06:00,5199.5,5206.75,5185.0,5190.75,-1.0,-1.0,-1
2024-03-08 13:00:00-06:00,5190.75,5218.75,5189.75,5212.75,-1.0,-1.0,-1
2024-03-08 14:00:00-06:00,5212.75,5218.25,5191.25,5192.25,-1.0,-1.0,-1
2024-03-08 15:00:00-06:00,5192.25,5200.75,5190.75,5195.75,-1.0,-1.0,-1
2024-03-11 08:30:00-05:00,5177.75,5182.5,5166.5,5166.75,-1.0,-1.0,-1
2024-03-11 09:00:00-05:00,5166.75,5179.0,5157.0,5177.75,-1.0,-1.0,-1
2024-03-11 10:00:00-05:00,5177.75,5181.0,5163.25,5180.5,-1.0,-1.0,-1
2024-03-11 11:00:00-05:00,5180.5,5184.0,5171.5,5182.25,-1.0,-1.0,-1
2024-03-11 12:00:00-05:00,5182.25,5188.0,5174.0,5183.0,-1.0,-1.0,-1
2024-03-11 13:00:00-05:00,5183.0,5191.5,5179.25,5188.75,-1.0,-1.0,-1
2024-03-11 14:00:00-05:00,5188.75,5189.0,5177.25,5185.75,-1.0,-1.0,-1
2024-03-11 15:00:00-05:00,5185.75,5192.0,5183.75,5191.0,-1.0,-1.0,-1
2024-03-12 08:30:00-05:00,5206.25,5210.0,5179.75,5206.25,-1.0,-1.0,-1
2024-03-12 09:00:00-05:00,5206.25,5237.75,5201.5,5232.25,-1.0,-1.0,-1
